applicant_id,cv_text,vacancy_family,sex,age_group,nationality,shortlist
A0164,devops engineer with 0 years of experience. cloud deployment aws. responsible for onboarding new colleagues. organised team events.,software,diverse,18-29,EU,0
A0165,bi analyst with 12 years of experience. excel modelling. a b testing. sql reporting. power bi dashboards. data cleaning pandas. organised team events. available at short notice. worked in agile teams.,data,female,18-29,non-EU,1
A0166,logistics coordinator with 2 years of experience. inventory cycle counts. forklift licence. responsible for onboarding new colleagues. worked in agile teams. fluent in german and english. organised team events.,logistics,diverse,45-60,DE,0
A0167,data analyst with 5 years of experience. stakeholder presentations. excel modelling. a b testing. power bi dashboards. etl workflows. basic first aid certificate. organised team events. team player with strong communication skills.,data,male,18-29,DE,1
A0168,warehouse operative with 1 years of experience. inventory cycle counts. forklift licence. responsible for onboarding new colleagues. team player with strong communication skills. fluent in german and english.,logistics,diverse,30-44,non-EU,0
A0169,backend engineer with 11 years of experience. rest api design. docker containers. sql databases. cloud deployment aws. ci cd pipelines. code review practices. unit testing. available at short notice. responsible for onboarding new colleagues. fluent in german and english. driving licence class b.,software,male,18-29,non-EU,1
A0170,back office clerk with 7 years of experience. front desk reception. invoice processing. ms office suite. crm data entry. calendar management. german and english correspondence. basic first aid certificate. driving licence class b.,office,diverse,18-29,non-EU,1
A0171,warehouse operative with 2 years of experience. hazmat handling certificate. fluent in german and english. available at short notice.,logistics,male,30-44,DE,0
A0172,office administrator with 0 years of experience. ms office suite. calendar management. driving licence class b. team player with strong communication skills. organised team events. available at short notice.,office,male,18-29,non-EU,0
A0173,software developer with 10 years of experience. ci cd pipelines. sql databases. code review practices. unit testing. docker containers. responsible for onboarding new colleagues. available at short notice. volunteer experience in local club.,software,male,45-60,non-EU,1
A0174,office administrator with 0 years of experience. german and english correspondence. calendar management. basic first aid certificate. available at short notice. fluent in german and english.,office,male,45-60,non-EU,0
A0175,backend engineer with 13 years of experience. cloud deployment aws. rest api design. python development. docker containers. sql databases. code review practices. unit testing. fluent in german and english. available at short notice. basic first aid certificate.,software,diverse,30-44,EU,1
A0176,data analyst with 2 years of experience. volunteer experience in local club. fluent in german and english. basic first aid certificate.,data,diverse,18-29,EU,0
A0177,bi analyst with 14 years of experience. excel modelling. statistical analysis. a b testing. stakeholder presentations. sql reporting. etl workflows. data cleaning pandas. team player with strong communication skills. available at short notice. basic first aid certificate. volunteer experience in local club.,data,female,18-29,EU,1
A0178,data analyst with 3 years of experience. statistical analysis. etl workflows. available at short notice. volunteer experience in local club. responsible for onboarding new colleagues. organised team events.,data,male,18-29,non-EU,0
A0179,software developer with 3 years of experience. organised team events. basic first aid certificate. volunteer experience in local club.,software,female,18-29,DE,0
A0180,back office clerk with 10 years of experience. invoice processing. front desk reception. minute taking. crm data entry. travel booking. calendar management. ms office suite. worked in agile teams. available at short notice. attended internal trainings. organised team events.,office,female,45-60,EU,1
A0181,back office clerk with 1 years of experience. available at short notice. volunteer experience in local club. basic first aid certificate.,office,diverse,30-44,EU,0
A0182,bi analyst with 3 years of experience. responsible for onboarding new colleagues. available at short notice. team player with strong communication skills. fluent in german and english.,data,female,30-44,EU,1
A0183,devops engineer with 9 years of experience. ci cd pipelines. code review practices. unit testing. sql databases. python development. docker containers. cloud deployment aws. team player with strong communication skills. worked in agile teams. organised team events. driving licence class b.,software,female,45-60,EU,1
A0184,reporting specialist with 0 years of experience. organised team events. fluent in german and english. responsible for onboarding new colleagues. available at short notice.,data,diverse,30-44,non-EU,0
A0185,data analyst with 9 years of experience. power bi dashboards. sql reporting. a b testing. etl workflows. stakeholder presentations. basic first aid certificate. driving licence class b. volunteer experience in local club. worked in agile teams.,data,female,45-60,EU,1
A0186,depot supervisor with 2 years of experience. inventory cycle counts. hazmat handling certificate. responsible for onboarding new colleagues. attended internal trainings. team player with strong communication skills. organised team events.,logistics,female,30-44,DE,0
A0187,depot supervisor with 6 years of experience. pallet handling. forklift licence. inventory cycle counts. hazmat handling certificate. warehouse management system. volunteer experience in local club. fluent in german and english. attended internal trainings. driving licence class b.,logistics,diverse,45-60,EU,1
A0188,back office clerk with 10 years of experience. invoice processing. ms office suite. calendar management. crm data entry. travel booking. german and english correspondence. minute taking. fluent in german and english. driving licence class b.,office,female,30-44,EU,1
A0189,reporting specialist with 0 years of experience. a b testing. responsible for onboarding new colleagues. worked in agile teams. volunteer experience in local club. driving licence class b.,data,male,45-60,DE,0
A0190,office administrator with 7 years of experience. minute taking. ms office suite. travel booking. german and english correspondence. calendar management. invoice processing. driving licence class b. attended internal trainings. team player with strong communication skills.,office,diverse,18-29,DE,1
A0191,devops engineer with 12 years of experience. cloud deployment aws. ci cd pipelines. code review practices. python development. rest api design. sql databases. organised team events. responsible for onboarding new colleagues. attended internal trainings. basic first aid certificate.,software,diverse,30-44,EU,1
A0192,devops engineer with 4 years of experience. ci cd pipelines. python development. code review practices. unit testing. docker containers. sql databases. worked in agile teams. organised team events. driving licence class b. fluent in german and english.,software,female,45-60,non-EU,1
A0193,backend engineer with 1 years of experience. python development. rest api design. driving licence class b. responsible for onboarding new colleagues. basic first aid certificate. volunteer experience in local club.,software,female,18-29,non-EU,0
A0194,software developer with 15 years of experience. docker containers. code review practices. python development. ci cd pipelines. sql databases. driving licence class b. available at short notice. organised team events.,software,female,18-29,non-EU,1
A0195,devops engineer with 0 years of experience. code review practices. responsible for onboarding new colleagues. worked in agile teams. attended internal trainings.,software,female,30-44,non-EU,0
A0196,software developer with 1 years of experience. python development. attended internal trainings. driving licence class b. available at short notice. volunteer experience in local club.,software,diverse,30-44,EU,0
A0197,office administrator with 12 years of experience. german and english correspondence. front desk reception. minute taking. calendar management. ms office suite. crm data entry. driving licence class b. fluent in german and english. responsible for onboarding new colleagues. available at short notice.,office,female,45-60,non-EU,1
A0198,devops engineer with 1 years of experience. fluent in german and english. worked in agile teams. organised team events.,software,female,30-44,EU,0
A0199,office administrator with 12 years of experience. travel booking. german and english correspondence. crm data entry. minute taking. calendar management. fluent in german and english. basic first aid certificate. attended internal trainings. volunteer experience in local club.,office,male,30-44,DE,0
A0200,software developer with 12 years of experience. ci cd pipelines. cloud deployment aws. sql databases. code review practices. rest api design. python development. unit testing. fluent in german and english. attended internal trainings.,software,female,18-29,EU,1
A0201,warehouse operative with 2 years of experience. organised team events. team player with strong communication skills. available at short notice. worked in agile teams.,logistics,female,18-29,EU,0
A0202,software developer with 3 years of experience. sql databases. docker containers. volunteer experience in local club. available at short notice. driving licence class b.,software,female,45-60,EU,0
A0203,backend engineer with 1 years of experience. volunteer experience in local club. organised team events. team player with strong communication skills. responsible for onboarding new colleagues.,software,diverse,30-44,EU,0
A0204,reporting specialist with 0 years of experience. responsible for onboarding new colleagues. available at short notice.,data,male,18-29,DE,0
A0205,software developer with 7 years of experience. ci cd pipelines. rest api design. python development. code review practices. docker containers. basic first aid certificate. attended internal trainings. organised team events. available at short notice.,software,male,18-29,EU,1
A0206,logistics coordinator with 14 years of experience. forklift licence. warehouse management system. route planning. inventory cycle counts. loading dock coordination. team player with strong communication skills. basic first aid certificate. responsible for onboarding new colleagues.,logistics,female,30-44,non-EU,1
A0207,team assistant with 3 years of experience. organised team events. available at short notice. responsible for onboarding new colleagues. worked in agile teams.,office,male,18-29,DE,0
A0208,bi analyst with 7 years of experience. etl workflows. power bi dashboards. sql reporting. data cleaning pandas. excel modelling. a b testing. stakeholder presentations. volunteer experience in local club. responsible for onboarding new colleagues.,data,male,18-29,non-EU,1
A0209,software developer with 4 years of experience. code review practices. cloud deployment aws. docker containers. ci cd pipelines. unit testing. rest api design. sql databases. basic first aid certificate. attended internal trainings. volunteer experience in local club.,software,diverse,45-60,DE,1
A0210,back office clerk with 11 years of experience. front desk reception. minute taking. invoice processing. ms office suite. travel booking. calendar management. responsible for onboarding new colleagues. available at short notice. attended internal trainings.,office,male,18-29,DE,0
A0211,warehouse operative with 13 years of experience. loading dock coordination. pallet handling. shift supervision. inventory cycle counts. route planning. forklift licence. team player with strong communication skills. responsible for onboarding new colleagues. volunteer experience in local club.,logistics,male,30-44,DE,0
A0212,devops engineer with 11 years of experience. rest api design. sql databases. docker containers. unit testing. python development. basic first aid certificate. responsible for onboarding new colleagues. worked in agile teams.,software,diverse,45-60,non-EU,1
A0213,data analyst with 9 years of experience. a b testing. data cleaning pandas. etl workflows. power bi dashboards. statistical analysis. sql reporting. responsible for onboarding new colleagues. driving licence class b. volunteer experience in local club. fluent in german and english.,data,female,18-29,DE,1
A0214,devops engineer with 12 years of experience. docker containers. cloud deployment aws. unit testing. code review practices. rest api design. organised team events. driving licence class b.,software,diverse,30-44,EU,1
A0215,office administrator with 3 years of experience. organised team events. fluent in german and english.,office,female,18-29,non-EU,0
A0216,reporting specialist with 2 years of experience. attended internal trainings. responsible for onboarding new colleagues. team player with strong communication skills. volunteer experience in local club.,data,male,30-44,non-EU,0
A0217,back office clerk with 0 years of experience. crm data entry. minute taking. attended internal trainings. organised team events. responsible for onboarding new colleagues. available at short notice.,office,male,45-60,DE,0
A0218,bi analyst with 0 years of experience. etl workflows. stakeholder presentations. basic first aid certificate. worked in agile teams.,data,female,30-44,EU,0
A0219,bi analyst with 3 years of experience. data cleaning pandas. worked in agile teams. available at short notice. basic first aid certificate.,data,female,30-44,non-EU,1
A0220,warehouse operative with 8 years of experience. loading dock coordination. pallet handling. warehouse management system. hazmat handling certificate. route planning. organised team events. available at short notice.,logistics,female,30-44,EU,1
A0221,devops engineer with 0 years of experience. unit testing. cloud deployment aws. worked in agile teams. fluent in german and english.,software,female,18-29,non-EU,0
A0222,warehouse operative with 10 years of experience. inventory cycle counts. hazmat handling certificate. route planning. loading dock coordination. pallet handling. shift supervision. attended internal trainings. responsible for onboarding new colleagues.,logistics,male,30-44,non-EU,1
A0223,backend engineer with 1 years of experience. unit testing. docker containers. team player with strong communication skills. fluent in german and english.,software,female,18-29,EU,0
A0224,bi analyst with 12 years of experience. power bi dashboards. data cleaning pandas. etl workflows. a b testing. sql reporting. excel modelling. statistical analysis. basic first aid certificate. driving licence class b. available at short notice.,data,female,45-60,DE,1
A0225,bi analyst with 3 years of experience. basic first aid certificate. team player with strong communication skills. fluent in german and english.,data,diverse,45-60,EU,0
A0226,data analyst with 14 years of experience. power bi dashboards. etl workflows. excel modelling. data cleaning pandas. stakeholder presentations. a b testing. responsible for onboarding new colleagues. volunteer experience in local club. worked in agile teams.,data,female,30-44,non-EU,1
A0227,bi analyst with 15 years of experience. excel modelling. etl workflows. statistical analysis. a b testing. sql reporting. organised team events. team player with strong communication skills. responsible for onboarding new colleagues. volunteer experience in local club.,data,male,30-44,EU,1
A0228,backend engineer with 0 years of experience. team player with strong communication skills. driving licence class b.,software,diverse,30-44,EU,0
A0229,back office clerk with 1 years of experience. invoice processing. travel booking. volunteer experience in local club. organised team events. responsible for onboarding new colleagues. basic first aid certificate.,office,diverse,45-60,non-EU,0
A0230,data analyst with 3 years of experience. worked in agile teams. responsible for onboarding new colleagues.,data,female,18-29,non-EU,0
A0231,software developer with 12 years of experience. unit testing. cloud deployment aws. code review practices. docker containers. ci cd pipelines. rest api design. sql databases. driving licence class b. fluent in german and english. organised team events. available at short notice.,software,diverse,30-44,EU,1
A0232,bi analyst with 10 years of experience. power bi dashboards. sql reporting. excel modelling. statistical analysis. stakeholder presentations. organised team events. team player with strong communication skills.,data,female,30-44,non-EU,0
A0233,software developer with 1 years of experience. sql databases. code review practices. basic first aid certificate. attended internal trainings. available at short notice.,software,male,30-44,DE,0
A0234,devops engineer with 11 years of experience. code review practices. python development. rest api design. ci cd pipelines. unit testing. team player with strong communication skills. volunteer experience in local club. driving licence class b. attended internal trainings.,software,diverse,30-44,non-EU,0
A0235,devops engineer with 13 years of experience. docker containers. ci cd pipelines. rest api design. code review practices. cloud deployment aws. python development. unit testing. worked in agile teams. responsible for onboarding new colleagues. fluent in german and english.,software,male,18-29,EU,1
A0236,software developer with 12 years of experience. rest api design. sql databases. python development. code review practices. unit testing. docker containers. ci cd pipelines. worked in agile teams. basic first aid certificate. team player with strong communication skills. responsible for onboarding new colleagues.,software,male,30-44,EU,1
A0237,office administrator with 0 years of experience. fluent in german and english. team player with strong communication skills.,office,male,18-29,EU,0
A0238,team assistant with 4 years of experience. ms office suite. invoice processing. calendar management. minute taking. front desk reception. german and english correspondence. responsible for onboarding new colleagues. driving licence class b. attended internal trainings. worked in agile teams.,office,male,45-60,EU,1
A0239,reporting specialist with 2 years of experience. fluent in german and english. responsible for onboarding new colleagues.,data,male,30-44,DE,0
